sentence,flag
"I can't stand that damn teacher yelling at us every day",1
"You're such a bitch for spreading those rumors",1
"This movie is full of shit and bad acting",1
"Why the hell did you break my phone?",1
"He's an asshole who never listens to anyone",1
"That stupid fuck ruined our plans again",1
"She's always acting like a slut at parties",1
"I told him to piss off and leave me alone",1
"This job is a total clusterfuck, I'm quitting",1
"Stop being such a dick to everyone",1
"The referee is a complete bastard for that call",1
"I hate this crappy town and its people",1
"Go fuck yourself, I don't need your help",1
"That jerkoff cut me off in traffic",1
"She's got a reputation as a whore around here",1
"This is such a shitty situation to be in",1
"Why are you acting like a total prick?",1
"I can't believe he said that racist crap",1
"He's always bragging about his big cock",1
"That fag keeps hitting on me, it's annoying",1
"This porn video is way too graphic",1
"Stop being such a retard, it's embarrassing",1
"I'm so pissed at this stupid game",1
"She's a skank who sleeps with everyone",1
"That guy's a motherfucker for stealing my stuff",1
"I don't give a fuck about your opinion",1
"This place smells like ass, let's leave",1
"He called her a cunt in front of everyone",1
"I'm tired of this bullshit at work",1
"That dude's a fagot, always causing trouble",1
"She's such a twat for ignoring me",1
"This is a goddamn waste of time",1
"how girl", 1
"He's a knobhead who thinks he's cool",1
"I saw some nasty shit online yesterday",1
"Quit being a wanker and help out",1
"That's a load of bollocks, I don't believe it",1
"She's a nympho who can't control herself",1
"This fucking computer keeps crashing",1
"He's a pedophile, stay away from him",1
"I hate that racist asshole next door",1
"This bar is full of sluts looking for attention",1
"Don't be such a pussy, just do it",1
"That's some hardcore porn you're watching",1
"He's a dickhead for cheating on her",1
"I'm so damn tired of your excuses",1
"She's a whore who'll do anything for money",1
"This shitty weather is ruining my day",1
"He's always talking about his cocky attitude",1
"Stop acting like a bitch and grow up",1
"I don't care about your fucking problems",1
"The park is a great place to relax",0
"I love reading books on sunny afternoons",0
"My dog is so playful and loves to fetch",0
"Let's go for a hike in the mountains",0
"She helped her friend with homework yesterday",0
"The flowers in the garden are blooming beautifully",0
"I enjoy painting landscapes in my free time",0
"We had a fun family picnic last weekend",0
"Learning new things at school is exciting",0
"The sunset over the lake was breathtaking",0
"I made a new friend at the community center",0
"Cooking dinner with my family is always fun",0
"The museum has an amazing dinosaur exhibit",0
"I love watching the stars at night",0
"Helping others makes me feel happy",0
"The beach is perfect for building sandcastles",0
"My teacher gave me a gold star today",0
"I'm excited to join the soccer team",0
"The library has so many interesting books",0
"We planted a tree in our backyard",0
"I love listening to music while studying",0
"The zoo was full of amazing animals",0
"My mom baked cookies for the class",0
"I learned how to ride a bike today",0
"The science fair was so much fun",0
"I helped my neighbor water her plants",0
"The park has a new playground for kids",0
"I'm reading a book about space exploration",0
"My cat loves to cuddle on the couch",0
"We had a great time at the festival",0
"I drew a picture of my favorite animal",0
"The hiking trail has beautiful views",0
"I love playing board games with friends",0
"The aquarium has colorful fish to see",0
"I helped clean up the local park",0
"My dad taught me how to fish",0
"The art class was so creative and fun",0
"I love watching birds in the backyard",0
"We made a kite and flew it high",0
"The community garden is growing fast",0
"I'm learning to play the guitar",0
"The picnic by the river was relaxing",0
"I love exploring new places with friends",0
"My teacher praised my science project",0
"We watched a funny movie last night",0
"I helped bake a cake for a party",0
"The forest trail was peaceful and quiet",0
"I love drawing pictures of my pets",0
"We had a great day at the beach",0
"I'm excited for the school talent show",0
"The library book club is so fun",0
"I helped my mom plant flowers",0
"The nature walk was full of surprises",0
"I love reading adventure stories",0
"My dog learned a new trick today",0
"We had a blast at the water park",0
"I'm learning about planets in school",0
"The community center has fun activities",0
"I love making crafts with my friends",0
"The sunset was so pretty tonight",0
"I helped my dad fix the bike",0
"The park is great for playing soccer",0
"I'm excited to visit the zoo again",0
"My teacher read us a funny story",0
"We had a great time at the fair",0
"I love building models with my brother",0
"The garden has fresh vegetables to pick",0
"I'm learning to code in class",0
"The lake is perfect for canoeing",0
"I helped my friend with a project",0
"The science museum was so cool",0
"I love watching the clouds go by",0
"We made a birdhouse for the yard",0
"The school play was a big success",0
"I'm excited to join the art club",0
"The park has a new walking trail",0
"I love reading mystery novels",0
"My cat loves playing with yarn",0
"We had fun at the family barbecue",0
"I learned about animals in class",0
"The beach is great for collecting shells",0
"I helped my mom bake brownies",0
"The forest has beautiful wildflowers",0
"I love playing chess with my dad",0
"The zoo has a new baby elephant",0
"My teacher gave us a fun project",0
"We had a great time ice skating",0
"I'm learning to draw cartoons",0
"The park is perfect for picnics",0
"I love watching nature documentaries",0
"My dog loves chasing butterflies",0
"We made a scrapbook of our trip",0
"I'm excited for the science fair",0
"The library has a new storytime",0
"I helped my neighbor rake leaves",0
"The sunset over the mountain was amazing",0
"I love building forts with blankets",0
"The community center has a new class",0
"I'm learning about history in school",0
"The park is great for flying kites",0
"I love reading about dinosaurs",0
"My cat loves napping in the sun",0
"We had a fun day at the lake",0
"I'm excited to join the choir",0
"The garden has colorful flowers",0
"I helped my friend build a model",0
"The science class was so interesting",0
"I love watching the sunrise",0
"We made a puzzle together",0
"The park has a new splash pad",0
"I'm learning to play soccer",0
"The library has fun summer programs",0
"I helped my dad plant a tree",0
"The beach is great for swimming",0
"I love drawing pictures of nature",0
"We had a blast at the carnival",0
"I'm excited for the school trip",0
"The park is perfect for biking",0
"I love reading fantasy books",0
"My dog loves running in the park",0
"We made cookies for the neighbors",0
"I'm learning about stars in class",0
"The community garden is thriving",0
"I helped my mom with gardening",0
"The sunset was absolutely stunning",0
"I love playing with my friends",0
"The zoo has a new penguin exhibit",0
"My teacher gave us a fun quiz",0
"We had a great time at the museum",0
"I'm excited to join the drama club",0
"The park has a new nature trail",0
"I love reading about space adventures",0
"My cat loves chasing laser pointers",0
"We had fun at the family reunion",0
"I'm learning about robots in school",0
"The beach is great for relaxing",0
"I helped my dad build a birdhouse",0
"The science fair was amazing",0
"I love watching the sunset with friends",0
"We made a fun craft project",0
"The park is great for jogging",0
"I'm excited for the art show",0
"The library has a new book section",0
"I helped my neighbor with chores",0
"The garden is full of butterflies",0
"I love playing board games at home",0
"The zoo has a new lion cub",0
"My teacher gave us a creative assignment",0
"We had a great time at the park",0
"I'm learning to play the piano",0
"The beach is perfect for sunbathing",0
"I love drawing animals in my sketchbook",0
"We made a fun science experiment",0
"The park has a new picnic area",0
"I'm excited for the school dance",0
"The library has a new reading club",0
"I helped my mom with baking",0
"The sunset was gorgeous tonight",0
"I love playing soccer with friends",0
"The zoo has a new giraffe",0
"My teacher read us an adventure story",0
"We had fun at the community fair",0
"I'm learning about coding games",0
"The park is great for stargazing",0
"I love reading about history",0
"My dog loves playing in the yard",0
"We made a fun art project",0
"I'm excited for the science camp",0
"The garden has new flower beds",0
"I helped my friend with homework",0
"The beach is great for walks",0
"I love watching nature shows",0
"The park has a new bike path",0
"I'm learning to draw landscapes",0
"The library has a fun story hour",0
"I helped my dad with gardening",0
"The sunset was beautiful today",0
"I love playing with my pets",0
"The zoo has a new tiger exhibit",0
"My teacher gave us a fun activity",0
"We had a great time at the zoo",0
"I'm excited for the school play",0
"The park is perfect for relaxing",0
"I love reading adventure novels",0
"My cat loves sleeping in the sun",0
"We made a fun family dinner",0
"I'm learning about animals in school",0
"The beach is great for picnics",0
"I helped my mom with cooking",0
"The garden is full of colors",0
"I love playing games with friends",0
"The zoo has a new monkey exhibit",0
"My teacher gave us a cool project",0
"We had fun at the school fair",0
"I'm learning to code apps",0
"The park is great for running",0
"I love reading about science",0
"My dog loves chasing balls",0
"We made a fun craft at school",0
"I'm excited for the art class",0
"The library has a new kids' section",0
"I helped my neighbor with gardening",0
"The sunset was stunning tonight",0
"I love playing at the park",0
"The zoo has a new bear exhibit",0
"My teacher gave us a fun task",0
"We had a great time at the beach",0
"I'm learning to play basketball",0
"The park is perfect for walks",0
"I love reading about planets",0
"My cat loves playing with toys",0
"We made a fun family project",0
"I'm excited for the science quiz",0
"The garden has new vegetables",0
"I helped my friend with a puzzle",0
"The beach is great for fun",0
"I love watching animal shows",0
"The park has a new swing set",0
"I'm learning to draw animals",0
"The library has a fun book club",0
"I helped my dad with chores",0
"The sunset was amazing today",0
"I love playing with my dog",0
"The zoo has a new bird exhibit",0
"My teacher gave us a great lesson",0
"We had fun at the family picnic",0
"I'm learning about nature in school",0
"The park is great for games",0
"I love reading about adventures",0
"My cat loves napping on the couch",0
"We made a fun science model",0
"I'm excited for the school event",0
"The garden is full of flowers",0
"I helped my mom with crafts",0
"The beach is perfect for playing",0
"I love watching the stars at night",0
"The park has a new slide",0
"I'm learning to play tennis",0
"The library has a new storytime",0
"I helped my neighbor with plants",0
"The sunset was beautiful tonight",0
"I love playing with my friends",0
"The zoo has a new reptile exhibit",0
"My teacher gave us a fun project",0
"We had a great time at the fair",0
"I'm learning about space in class",0
"The park is great for picnics",0
"I love reading about animals",0
"My dog loves running around",0
"We made a fun art project",0
"I'm excited for the school trip",0
"The garden has colorful blooms",0
"I helped my friend with art",0
"The beach is great for relaxing",0
"I love watching nature videos",0
"The park has a new trail",0
"I'm learning to draw cartoons",0
"The library has a fun club",0
"I helped my dad with the garden",0
"The sunset was gorgeous today",0
"I love playing at the playground",0
"The zoo has a new animal show",0
"My teacher gave us a cool task",0
"We had fun at the community event",0
"I'm learning about planets in school",0
"The park is great for biking",0
"I love reading about history",0
"My cat loves chasing strings",0
"We made a fun family craft",0
"I'm excited for the science fair",0
"The garden is full of life",0
"I helped my mom with baking",0
"The beach is perfect for fun",0
"I love watching animal documentaries",0
"The park has a new picnic spot",0
"I'm learning to play soccer",0
"The library has a new book club",0
"I helped my neighbor with chores",0
"The sunset was stunning today",0
"I love playing with my pets",0
"The zoo has a new elephant show",0
"My teacher gave us a fun quiz",0
"We had a great time at the park",0
"I'm learning about coding in class",0
"The park is great for running",0
"I love reading about science",0
"My dog loves playing fetch",0
"We made a fun science project",0
"I'm excited for the art show",0
"The library has a new kids' club",0
"I helped my dad with the yard",0
"The sunset was amazing tonight",0
"I love playing games at home",0
"The zoo has a new lion exhibit",0
"My teacher gave us a great project",0
"We had fun at the school event",0
"I'm learning about animals in class",0
"The park is great for relaxing",0
"I love reading adventure stories",0
"My cat loves sleeping in the sun",0
"We made a fun family dinner",0
"I'm excited for the science camp",0
"The garden has new flowers",0
"I helped my friend with a project",0
"The beach is great for walks",0
"I love watching nature shows",0
"The park has a new bike trail",0
"I'm learning to draw landscapes",0
"The library has a fun story hour",0
"I helped my mom with gardening",0
"The sunset was beautiful today",0
"I love playing with my dog",0
"The zoo has a new tiger show",0
"My teacher gave us a fun activity",0
"We had a great time at the zoo",0
"I'm learning to play the piano",0
"The park is perfect for picnics",0
"I love reading about dinosaurs",0
"My cat loves playing with toys",0
"We made a fun art project",0
"I'm excited for the school dance",0
"The garden is full of colors",0
"I helped my dad with chores",0
"The beach is great for swimming",0
"I love watching the sunrise",0
"The park has a new playground",0
"I'm learning to play basketball",0
"The library has a new reading club",0
"I helped my neighbor with plants",0
"The sunset was stunning tonight",0
"I love playing with my friends",0
"The zoo has a new monkey show",0
"My teacher gave us a cool lesson",0
"We had fun at the family fair",0
"I'm learning about space in school",0
"The park is great for games",0
"I love reading about adventures",0
"My dog loves chasing balls",0
"We made a fun science model",0
"I'm excited for the school event",0
"The garden has colorful flowers",0
"I helped my mom with crafts",0
"The beach is perfect for relaxing",0
"I love watching animal shows",0
"The park has a new swing set",0
"I'm learning to draw animals",0
"The library has a fun book club",0
"I helped my dad with gardening",0
"The sunset was gorgeous today",0
"I love playing at the park",0
"The zoo has a new bear show",0
"My teacher gave us a fun task",0
"We had a great time at the beach",0
"I'm learning about coding games",0
"The park is great for running",0
"I love reading about history",0
"My cat loves napping on the couch",0
"We made a fun family project",0
"I'm excited for the science quiz",0
"The garden is full of butterflies",0
"I helped my friend with homework",0
"The beach is great for picnics",0
"I love watching nature videos",0
"The park has a new trail",0
"I'm learning to play soccer",0
"The library has a new storytime",0
"I helped my neighbor with chores",0
"The sunset was amazing today",0
"I love playing with my pets",0
"The zoo has a new penguin exhibit",0
"My teacher gave us a great project",0
"We had fun at the community event",0
"I'm learning about animals in school",0
"The park is great for biking",0
"I love reading about planets",0
"My dog loves playing in the yard",0
"We made a fun art project",0
"I'm excited for the school trip",0
"The garden has new vegetables",0
"I helped my mom with baking",0
"The beach is perfect for fun",0
"I love watching animal documentaries",0
"The park has a new picnic area",0
"I'm learning to play tennis",0
"The library has a new kids' section",0
"I helped my dad with the garden",0
"The sunset was beautiful tonight",0
"I love playing with my dog",0
"The zoo has a new lion exhibit",0
"My teacher gave us a fun quiz",0
"We had a great time at the fair",0
"I'm learning about coding in class",0
"The park is great for relaxing",0
"I love reading adventure novels",0
"My cat loves chasing strings",0
"We made a fun family dinner",0
"I'm excited for the science camp",0
"The garden is full of flowers",0
"I helped my friend with a puzzle",0
"The beach is great for walks",0
"I love watching nature shows",0
"The park has a new bike path",0
"I'm learning to draw cartoons",0
"The library has a fun club",0
"I helped my mom with gardening",0
"The sunset was stunning today",0
"I love playing at the playground",0
"The zoo has a new elephant show",0
"My teacher gave us a cool task",0
"We had fun at the school fair",0
"I'm learning about space in school",0
"The park is great for picnics",0
"I love reading about dinosaurs",0
"My dog loves running around",0
"We made a fun science project",0
"I'm excited for the art show",0
"The library has a new book club",0
"I helped my neighbor with plants",0
"The beach is perfect for swimming",0
"I love watching the sunrise",0
"The park has a new playground",0
"I'm learning to play basketball",0
"The library has a new reading club",0
"I helped my dad with chores",0
"The sunset was gorgeous tonight",0
"I love playing with my friends",0
"The zoo has a new tiger show",0
"My teacher gave us a fun activity",0
"We had a great time at the zoo",0
"I'm learning to play the piano",0
"The park is great for games",0
"I love reading about animals",0
"My cat loves playing with toys",0
"We made a fun art project",0
"I'm excited for the school dance",0
"The garden is full of colors",0
"I helped my mom with crafts",0
"The beach is great for relaxing",0
"I love watching nature videos",0
"The park has a new swing set",0
"I'm learning to draw animals",0
"The library has a fun story hour",0
"I helped my dad with gardening",0
"The sunset was beautiful today",0
"I love playing with my pets",0
"The zoo has a new monkey show",0
"My teacher gave us a great lesson",0
"We had fun at the family fair",0
"I'm learning about planets in school",0
"The park is great for biking",0
"I love reading about adventures",0
"My dog loves chasing balls",0
"We made a fun science model",0
"I'm excited for the school event",0
"The garden has colorful flowers",0
"I helped my friend with homework",0
"The beach is perfect for fun",0
"I love watching animal shows",0
"The park has a new trail",0
"I'm learning to play soccer",0
"The library has a new book club",0
"I helped my neighbor with chores",0
"The sunset was stunning tonight",0
"I love playing with my dog",0
"The zoo has a new bear exhibit",0
"My teacher gave us a fun quiz",0
"We had a great time at the beach",0
"I'm learning about coding games",0
"The park is great for running",0
"I love reading about history",0
"My cat loves napping on the couch",0
"We made a fun family project",0
"I'm excited for the science quiz",0
"The garden is full of butterflies",0
"I helped my mom with baking",0
"The beach is great for picnics",0
"I love watching nature shows",0
"The park has a new bike path",0
"I'm learning to draw landscapes",0
"The library has a fun club",0
"I helped my dad with the garden",0
"The sunset was amazing today",0
"I love playing at the park",0
"The zoo has a new lion show",0
"My teacher gave us a cool project",0
"We had fun at the community event",0
"I'm learning about animals in school",0
"The park is great for relaxing",0
"I love reading about planets",0
"My dog loves playing in the yard",0
"We made a fun art project",0
"I'm excited for the school trip",0
"The garden has new vegetables",0
"I helped my friend with a project",0
"The beach is great for walks",0
"I love watching nature videos",0
"The park has a new picnic area",0
"I'm learning to play tennis",0
"The library has a new kids' section",0
"I helped my mom with gardening",0
"The sunset was beautiful tonight",0
"I love playing with my friends",0
"The zoo has a new penguin exhibit",0
"My teacher gave us a fun task",0
"We had a great time at the fair",0
"I'm learning about coding in class",0
"The park is great for games",0
"I love reading about dinosaurs",0
"My cat loves chasing strings",0
"We made a fun family dinner",0
"I'm excited for the science camp",0
"The garden is full of flowers",0
"I helped my dad with chores",0
"The beach is perfect for swimming",0
"I love watching the sunrise",0
"The park has a new playground",0
"I'm learning to play basketball",0
"The library has a new reading club",0
"I helped my neighbor with plants",0
"The sunset was stunning today",0
"I love playing with my pets",0
"The zoo has a new tiger exhibit",0
"My teacher gave us a great project",0
"We had fun at the school fair",0
"I'm learning about space in school",0
"The park is great for biking",0
"I love reading about adventures",0
"My dog loves running around",0
"We made a fun science project",0
"I'm excited for the art show",0
"The library has a new book club",0
"I helped my mom with baking",0
"The beach is great for relaxing",0
"I love watching animal shows",0
"The park has a new swing set",0
"I'm learning to draw animals",0
"The library has a fun story hour",0
"I helped my dad with gardening",0
"The sunset was gorgeous today",0
"I love playing at the playground",0
"The zoo has a new elephant show",0
"My teacher gave us a cool lesson",0
"We had a great time at the zoo",0
"I'm learning to play the piano",0
"The park is great for picnics",0
"I love reading about animals",0
"My cat loves playing with toys",0
"We made a fun art project",0
"I'm excited for the school dance",0
"The garden is full of colors",0
"I helped my friend with crafts",0
"The beach is perfect for fun",0
"I love watching nature videos",0
"The park has a new trail",0
"I'm learning to play soccer",0
"The library has a new book club",0
"I helped my neighbor with chores",0
"The sunset was stunning tonight",0
"I love playing with my dog",0
"The zoo has a new lion exhibit",0
"My teacher gave us a fun quiz",0
"We had a great time at the beach",0
"I'm learning about coding games",0
"The park is great for running",0
"I love reading about history",0
"My cat loves napping on the couch",0
"We made a fun family project",0
"I'm excited for the science quiz",0
"The garden is full of butterflies",0
"I helped my mom with baking",0
"The beach is great for picnics",0
"I love watching nature shows",0
"The park has a new bike path",0
"I'm learning to draw landscapes",0
"The library has a fun club",0
"I helped my dad with the garden",0
"The sunset was beautiful today",0
"I love playing with my pets",0
"The zoo has a new bear exhibit",0
"My teacher gave us a great task",0
"We had fun at the community fair",0
"I'm learning about animals in school",0
"The park is great for relaxing",0
